Name	SMILES
NuBBE_16 	Permeable
NuBBE_1700 	Non-Permeable
NuBBE_1701 	Non-Permeable
NuBBE_1702 	Non-Permeable
NuBBE_1703 	Non-Permeable
NuBBE_1704 	Non-Permeable
NuBBE_1705 	Non-Permeable
NuBBE_1706 	Non-Permeable
NuBBE_1707 	Permeable
NuBBE_1708 	Permeable
NuBBE_1709 	Permeable
NuBBE_170 	Permeable
NuBBE_1710 	Permeable
NuBBE_1711 	Permeable
NuBBE_1712 	Permeable
NuBBE_1713 	Permeable
NuBBE_1714 	Permeable
NuBBE_1715 	Permeable
NuBBE_1716 	Permeable
NuBBE_1717 	Permeable
NuBBE_1718 	Permeable
NuBBE_1719 	Permeable
NuBBE_171 	Permeable
NuBBE_1720 	Non-Permeable
NuBBE_1721 	Permeable
NuBBE_1722 	Permeable
NuBBE_1723 	Non-Permeable
NuBBE_1724 	Non-Permeable
NuBBE_1725 	Permeable
NuBBE_1726 	Permeable
NuBBE_1727 	Permeable
NuBBE_1728 	Permeable
NuBBE_1729 	Permeable
NuBBE_172 	Permeable
NuBBE_1730 	Permeable
NuBBE_1731 	Permeable
NuBBE_1732 	Permeable
NuBBE_1733 	Permeable
NuBBE_1734 	Permeable
NuBBE_1735 	Permeable
NuBBE_1736 	Non-Permeable
NuBBE_1737 	Permeable
NuBBE_1738 	Permeable
NuBBE_1739 	Permeable
NuBBE_173 	Permeable
NuBBE_1740 	Permeable
NuBBE_1741 	Permeable
NuBBE_1742 	Permeable
NuBBE_1743 	Permeable
NuBBE_1744 	Permeable
NuBBE_1745 	Permeable
NuBBE_1746 	Permeable
NuBBE_1747 	Permeable
NuBBE_1749 	Permeable
NuBBE_174 	Permeable
NuBBE_1750 	Permeable
NuBBE_1751 	Permeable
NuBBE_1752 	Permeable
NuBBE_1753 	Non-Permeable
NuBBE_1754 	Permeable
NuBBE_1755 	Permeable
NuBBE_1756 	Permeable
NuBBE_1757 	Permeable
NuBBE_1758 	Permeable
NuBBE_1759 	Non-Permeable
NuBBE_175 	Permeable
NuBBE_1760 	Non-Permeable
NuBBE_1761 	Permeable
NuBBE_1762 	Non-Permeable
NuBBE_1763 	Permeable
NuBBE_1764 	Non-Permeable
NuBBE_1765 	Non-Permeable
NuBBE_1766 	Permeable
NuBBE_1767 	Permeable
NuBBE_1768 	Non-Permeable
NuBBE_1769 	Non-Permeable
NuBBE_176 	Permeable
NuBBE_1770 	Non-Permeable
NuBBE_1771 	Non-Permeable
NuBBE_1772 	Non-Permeable
NuBBE_1773 	Permeable
NuBBE_1774 	Permeable
NuBBE_1775 	Permeable
NuBBE_1776 	Permeable
NuBBE_1777 	Permeable
NuBBE_1778 	Non-Permeable
NuBBE_1779 	Permeable
NuBBE_177 	Permeable
NuBBE_1780 	Permeable
NuBBE_1781 	Permeable
NuBBE_1782 	Permeable
NuBBE_1783 	Permeable
NuBBE_1784 	Permeable
NuBBE_1785 	Permeable
NuBBE_1786 	Permeable
NuBBE_1787 	Non-Permeable
NuBBE_1788 	Non-Permeable
NuBBE_1789 	Permeable
NuBBE_178 	Permeable
NuBBE_1790 	Permeable
NuBBE_1791 	Permeable
NuBBE_1792 	Permeable
NuBBE_1793 	Permeable
NuBBE_1794 	Permeable
NuBBE_1795 	Permeable
NuBBE_1796 	Permeable
NuBBE_1797 	Permeable
NuBBE_1798 	Permeable
NuBBE_1799 	Permeable
NuBBE_179 	Permeable
NuBBE_17 	Permeable
NuBBE_1800 	Permeable
NuBBE_1801 	Permeable
NuBBE_1802 	Permeable
NuBBE_1803 	Permeable
NuBBE_1804 	Permeable
NuBBE_1805 	Permeable
NuBBE_1806 	Permeable
NuBBE_1807 	Permeable
NuBBE_1808 	Permeable
NuBBE_1809 	Permeable
NuBBE_180 	Permeable
NuBBE_1810 	Permeable
NuBBE_1811 	Permeable
NuBBE_1812 	Permeable
NuBBE_1813 	Permeable
NuBBE_1814 	Permeable
NuBBE_1815 	Permeable
NuBBE_1816 	Non-Permeable
NuBBE_1817 	Non-Permeable
NuBBE_1818 	Non-Permeable
NuBBE_1819 	Non-Permeable
NuBBE_181 	Permeable
NuBBE_1820 	Non-Permeable
NuBBE_1821 	Non-Permeable
NuBBE_1822 	Non-Permeable
NuBBE_1823 	Non-Permeable
NuBBE_1824 	Permeable
