Name	Permeability
CHEMBL592493	Permeable
CHEMBL602545	Permeable
CHEMBL592250	Permeable
CHEMBL198328	Non-Permeable
CHEMBL194432	Permeable
CHEMBL213112	Non-Permeable
CHEMBL211443	Non-Permeable
CHEMBL2369839	Non-Permeable
CHEMBL555148	Non-Permeable
CHEMBL372128	Non-Permeable
CHEMBL372619	Non-Permeable
CHEMBL284410	Non-Permeable
CHEMBL32054	Non-Permeable
CHEMBL1790712	Non-Permeable
CHEMBL601931	Permeable
CHEMBL270013	Non-Permeable
CHEMBL409878	Non-Permeable
CHEMBL209864	Non-Permeable
CHEMBL2369829	Non-Permeable
CHEMBL514123	Non-Permeable
CHEMBL591310	Permeable
CHEMBL609848	Permeable
CHEMBL563905	Permeable
CHEMBL563613	Permeable
CHEMBL515975	Non-Permeable
CHEMBL1253853	Non-Permeable
CHEMBL1643587	Non-Permeable
CHEMBL582857	Non-Permeable
CHEMBL1765669	Non-Permeable
CHEMBL1765671	Non-Permeable
CHEMBL2112903	Non-Permeable
CHEMBL1765667	Non-Permeable
CHEMBL2112248	Non-Permeable
CHEMBL2369848	Non-Permeable
CHEMBL197298	Non-Permeable
CHEMBL382065	Non-Permeable
CHEMBL371983	Non-Permeable
CHEMBL489386	Permeable
CHEMBL1090654	Permeable
CHEMBL457544	Non-Permeable
CHEMBL458654	Non-Permeable
CHEMBL458634	Non-Permeable
CHEMBL1077300	Permeable
CHEMBL1089391	Permeable
CHEMBL284419	Non-Permeable
CHEMBL1790718	Non-Permeable
CHEMBL1779408	Permeable
CHEMBL1779409	Permeable
CHEMBL1765663	Non-Permeable
CHEMBL24074	Non-Permeable
CHEMBL1254025	Permeable
CHEMBL1790728	Non-Permeable
CHEMBL68373	Non-Permeable
CHEMBL435021	Non-Permeable
CHEMBL492029	Permeable
CHEMBL1088765	Permeable
CHEMBL1088767	Permeable
CHEMBL1254210	Permeable
CHEMBL2113198	Non-Permeable
CHEMBL515111	Permeable
CHEMBL514031	Permeable
CHEMBL515447	Permeable
CHEMBL80877	Non-Permeable
CHEMBL32567	Permeable
CHEMBL1779418	Permeable
CHEMBL375324	Non-Permeable
CHEMBL445875	Permeable
CHEMBL1204126	Non-Permeable
CHEMBL512257	Non-Permeable
CHEMBL1790575	Non-Permeable
CHEMBL2369838	Non-Permeable
CHEMBL69202	Non-Permeable
CHEMBL491422	Permeable
CHEMBL31691	Permeable
CHEMBL32745	Non-Permeable
CHEMBL282781	Non-Permeable
CHEMBL2369840	Non-Permeable
CHEMBL1790937	Non-Permeable
CHEMBL287101	Permeable
CHEMBL1643584	Non-Permeable
CHEMBL32404	Non-Permeable
CHEMBL25067	Non-Permeable
CHEMBL209917	Permeable
CHEMBL491224	Non-Permeable
CHEMBL4126100	Non-Permeable
CHEMBL2172292	Non-Permeable
CHEMBL1094049	Permeable
CHEMBL422044	Non-Permeable
CHEMBL358793	Non-Permeable
CHEMBL1254297	Non-Permeable
CHEMBL456263	Non-Permeable
CHEMBL481568	Permeable
CHEMBL592495	Permeable
CHEMBL594361	Permeable
CHEMBL594828	Non-Permeable
CHEMBL2113189	Non-Permeable
CHEMBL2113205	Non-Permeable
CHEMBL383149	Permeable
CHEMBL522255	Permeable
CHEMBL1790723	Non-Permeable
CHEMBL429736	Non-Permeable
CHEMBL467185	Non-Permeable
CHEMBL1643585	Non-Permeable
CHEMBL4205970	Permeable
CHEMBL1092458	Permeable
CHEMBL1093341	Permeable
CHEMBL1089272	Permeable
CHEMBL360648	Permeable
CHEMBL3763342	Non-Permeable
CHEMBL25353	Permeable
CHEMBL375096	Non-Permeable
CHEMBL606976	Permeable
CHEMBL592733	Permeable
CHEMBL2037511	Non-Permeable
CHEMBL2037508	Non-Permeable
CHEMBL2037506	Non-Permeable
CHEMBL2037505	Non-Permeable
CHEMBL2037488	Non-Permeable
CHEMBL2037487	Non-Permeable
CHEMBL4216926	Permeable
CHEMBL1779405	Permeable
